"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Roadmaps","Project Milestone ID","Project Milestone","SLA Status"
"T1A-22","T1a3","Create 'at a glance' view of currently read book(s) with detailed statistics (e.g., progress)",,"Backlog",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-19T23:08:52.061Z","2023-10-19T23:39:39.187Z",,,,,,,"T1A-19","",,,
"T1A-23","T1a3","Create condensed list view of to be read books with basic statistics (title, author, tags)",,"Backlog",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-19T23:09:25.664Z","2023-10-19T23:39:42.279Z",,,,,,,"T1A-19","",,,
"T1A-34","T1a3","Adjust reading speed (slow, average, fast, custom",,"Backlog",,"High",,,"tobyfehily@gmail.com",,"Stretch goal",,,,,"2023-10-19T23:23:52.666Z","2023-10-19T23:28:13.555Z",,,,,,,"T1A-32","",,,
"T1A-35","T1a3","Modify time left to read according to custom daily reading hours goal",,"Backlog",,"High",,,"tobyfehily@gmail.com",,"Stretch goal",,,,,"2023-10-19T23:24:14.217Z","2023-10-19T23:28:07.276Z",,,,,,,"T1A-32","",,,
"T1A-33","T1a3","Calculate general time to left to read book",,"Backlog",,"High",,,"tobyfehily@gmail.com",,"Stretch goal",,,,,"2023-10-19T23:23:23.033Z","2023-10-19T23:28:00.952Z",,,,,,,"T1A-32","",,,
"T1A-32","T1a3","Calculate time left to read book",,"Backlog",,"High",,,"tobyfehily@gmail.com",,"Stretch goal",,,,,"2023-10-19T23:21:11.853Z","2023-10-19T23:27:51.978Z",,,,,,,,"",,,
"T1A-14","T1a3","Allow user to quit at any stage by typing '/quit'",,"Backlog",,"Medium",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-19T23:01:03.667Z","2023-10-19T23:38:56.414Z",,,,,,,"T1A-13","",,,
"T1A-27","T1a3","Quick-add ISBNs with bash script arguments",,"Backlog",,"Low",,,"tobyfehily@gmail.com",,"Stretch goal",,,,,"2023-10-19T23:14:20.680Z","2023-10-19T23:26:33.626Z",,,,,,,,"",,,
"T1A-26","T1a3","Retrieve book information by querying Google Books API with ISBNs",,"Backlog",,"Low",,,"tobyfehily@gmail.com",,"Stretch goal",,,,,"2023-10-19T23:11:46.782Z","2023-10-19T23:26:25.161Z",,,,,,,,"",,,
"T1A-25","T1a3","Import books with Goodreads CSV",,"Backlog",,"Low",,,"tobyfehily@gmail.com",,"Stretch goal",,,,,"2023-10-19T23:11:19.014Z","2023-10-19T23:26:05.522Z",,,,,,,,"",,,
"T1A-31","T1a3","Update progress by percent",,"Todo",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:18:50.891Z","2023-10-19T23:35:29.362Z",,,,,,"2023-10-22T13:00:00.000Z","T1A-29","",,,
"T1A-30","T1a3","Update progress by pages",,"Todo",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:18:41.001Z","2023-10-19T23:35:12.315Z",,,,,,"2023-10-22T13:00:00.000Z","T1A-29","",,,
"T1A-29","T1a3","Update currently reading book(s) progress",,"Todo",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:18:08.147Z","2023-10-19T23:42:24.205Z",,,,,,"2023-10-22T13:00:00.000Z",,"",,,
"T1A-28","T1a3","Return a list or random choice of to be read book(s)",,"Todo",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:15:49.630Z","2023-10-19T23:38:56.414Z",,,,,,"2023-10-22T13:00:00.000Z",,"",,,
"T1A-21","T1a3","Allow user to mark book as currently read or to be read",,"Todo",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:07:33.827Z","2023-10-19T23:33:49.707Z",,,,,,"2023-10-22T13:00:00.000Z","T1A-19","",,,
"T1A-20","T1a3","Return added books as a list",,"Todo",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:07:23.387Z","2023-10-19T23:33:38.616Z",,,,,,"2023-10-22T13:00:00.000Z","T1A-19","",,,
"T1A-19","T1a3","Mark books as currently read or to be read",,"Todo",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:06:45.540Z","2023-10-19T23:42:35.445Z",,,,,,"2023-10-22T13:00:00.000Z",,"",,,
"T1A-17","T1a3","Convert user input to lowercase strings for easier handling and cross-referencing",,"Todo",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:04:27.851Z","2023-10-19T23:32:03.526Z",,,,,,"2023-10-22T13:00:00.000Z","T1A-10","",,,
"T1A-16","T1a3","Prevent user from entering books that have already been added","","Todo",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:03:34.996Z","2023-10-19T23:32:15.185Z",,,,,,"2023-10-22T13:00:00.000Z","T1A-10","",,,
"T1A-15","T1a3","Catch input errors (e.g., TypeError for int, float)",,"Todo",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:02:52.822Z","2023-10-19T23:31:51.839Z",,,,,,"2023-10-22T13:00:00.000Z","T1A-10","",,,
"T1A-12","T1a3","Allow user to remove books (title, author)",,"Todo",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T22:55:37.583Z","2023-10-19T23:31:41.263Z",,,,,,"2023-10-22T13:00:00.000Z","T1A-10","",,,
"T1A-11","T1a3","Allow user to add books (title, author, pages)","","Todo",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T22:55:27.353Z","2023-10-19T23:31:26.089Z",,,,,,"2023-10-22T13:00:00.000Z","T1A-10","",,,
"T1A-10","T1a3","Add and remove books","","Todo",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T22:54:30.752Z","2023-10-19T23:42:48.140Z",,,,,,"2023-10-22T13:00:00.000Z",,"",,,
"T1A-18","T1a3","Allow user to enter multiple books at a time",,"Todo",,"High",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:05:16.978Z","2023-10-19T23:34:06.224Z",,,,,,"2023-10-23T13:00:00.000Z","T1A-10","",,,
"T1A-36","T1a3","Create bash script",,"Todo",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:37:01.882Z","2023-10-19T23:37:10.796Z",,,,,,"2023-10-25T13:00:00.000Z",,"",,,
"T1A-13","T1a3","Create main program loop",,"Todo",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T22:59:12.033Z","2023-10-19T23:38:22.304Z",,,,,,"2023-10-25T13:00:00.000Z",,"",,,
